distance,data,depths
100000.0,-7.79796012052,0.0
98989.8989899,-14.3334704456,489.649441456
97979.7979798,-19.0579831126,949.690877396
96969.6969697,-22.8550974987,1381.18093319
95959.5959596,-27.0353173082,1785.07311712
94949.4949495,-32.0993004856,2162.18403214
93939.3939394,-34.4784465205,2513.15024599
92929.2929293,-38.1110492981,2838.37611304
91919.1919192,-40.9364759668,3137.97469176
90909.0909091,-43.3192626812,3411.70653222
89898.989899,-45.9008988629,3658.92441364
88888.8888889,-47.5183009505,3878.53575178
87878.7878788,-49.974873204,4068.99774212
86868.6868687,-52.2535234192,4228.36245098
85858.5858586,-53.9106520205,4354.3889209
84848.4848485,-55.6523895704,4444.73583575
83838.3838384,-56.6355420028,4497.24061821
82828.2828283,-58.9327934691,4510.27887007
81818.1818182,-60.0125484784,4483.18263465
80808.0808081,-61.832672148,4416.67899861
79797.979798,-63.8223269392,4313.29504335
78787.8787879,-63.2684980022,4177.66473923
77777.7777778,-64.1270887568,4016.67164071
76767.6767677,-65.8138609582,3839.37083567
75757.5757576,-65.1155118218,3656.65534241
74747.4747475,-67.7137301355,3480.66437722
73737.3737374,-67.632540023,3323.96937305
72727.2727273,-68.3545332267,3198.61196182
71717.1717172,-68.04043754,3115.09902012
70707.0707071,-68.5618925702,3081.47659893
69696.969697,-69.6559785232,3102.6025876
68686.8686869,-69.9314409211,3179.71622402
67676.7676768,-70.9044990294,3310.36392559
66666.6666667,-71.7466854011,3488.69178514
65656.5656566,-71.1838470442,3706.06410221
64646.4646465,-71.1452908889,3951.92355467
63636.3636364,-70.7836088959,4214.77955587
62626.2626263,-70.9359756525,4483.20137505
61616.1616162,-71.833396694,4746.70221385
60606.0606061,-71.858223419,4996.42637094
59595.959596,-72.2636018554,5225.58786214
58585.8585859,-72.4461161877,5429.64811931
57575.7575758,-72.5495733512,5606.25575868
56565.6565657,-70.6432914013,5754.99769366
55555.5555556,-71.7552900285,5877.02535081
54545.4545455,-71.5576767485,5974.62231133
53535.3535354,-71.7556143532,6050.77235666
52525.2525253,-70.4785957397,6108.7729734
51515.1515152,-71.3542433097,6151.92258612
50505.0505051,-70.2689068026,6183.29344632
49494.9494949,-70.1535300783,6205.58859727
48484.8484848,-68.9757750609,6221.07191411
47474.7474747,-68.8000255515,6231.55510232
46464.6464646,-68.4140506485,6238.42416229
45454.5454545,-67.0127423495,6242.68919266
44444.4444444,-65.8481307266,6245.04439415
43434.3434343,-64.9757702254,6245.92874937
42424.2424242,-63.68412917,6245.58135008
41414.1414141,-62.8580087638,6244.08826778
40404.040404,-61.3104358814,6241.42002694
39393.9393939,-59.9450676838,6237.46014278
38383.8383838,-58.1753198056,6232.02594759
37373.7373737,-56.7190925203,6224.88321517
36363.6363636,-55.4554938321,6215.75607232
35353.5353535,-52.7890133224,6204.33349634
34343.4343434,-51.4221619586,6190.27344245
33333.3333333,-50.4987664754,6173.20538775
32323.2323232,-48.0978495311,6152.73185437
31313.1313131,-47.6724037339,6128.42929624
30303.030303,-46.3741902908,6099.84860129
29292.9292929,-45.5349923279,6066.51536853
28282.8282828,-45.6507306857,6027.93005686
27272.7272727,-45.2478432357,5983.56806305
26262.6262626,-46.7715929715,5932.87976151
25252.5252525,-46.4578228878,5875.29052415
24242.4242424,-47.603683519,5810.20073003
23232.3232323,-48.3285266074,5736.98576989
22222.2222222,-48.7834671801,5654.99604828
21212.1212121,-49.1687843927,5563.55698455
20202.020202,-49.380698934,5461.96901322
19191.9191919,-50.2316985915,5349.50758423
18181.8181818,-49.2591379198,5225.42316295
17171.7171717,-49.3391230139,5088.94123024
16161.6161616,-49.9913848856,4939.26228248
15151.5151515,-47.9101136073,4775.56183155
14141.4141414,-46.910466315,4596.99040484
13131.3131313,-46.241736653,4402.67354525
12121.2121212,-45.6586782682,4191.71181119
11111.1111111,-44.6030862353,3963.18077658
10101.010101,-41.7968642111,3716.13103088
9090.90909091,-40.5341097958,3449.58817901
8080.80808081,-37.4742859017,3162.55284143
7070.70707071,-35.4682432656,2854.00065413
6060.60606061,-32.2896212004,2522.88226858
5050.50505051,-29.5022760229,2168.12335177
4040.4040404,-25.8950572336,1788.6245862
3030.3030303,-22.4285993519,1383.2616699
2020.2020202,-17.2661919328,950.885316395
1010.1010101,-13.2138438907,490.321254714
0.0,-7.3357187552,0.37022941226
