iunix,LAT,LON,DATE,DOY,TIME,FLT,PSX,PSY,WGSHGT,FX,FY,FZ,EOTGRAV,FACOR,INTCOR,FAG070,FAG100,FAG140,FLTENVIRO,FLTENVIRO,DATETIME,UNIX,THICK,ELEVATION,FRAME,SURFACE_radar,BOTTOM,QUALITY,SURFACE_atm,DAY,HOUR,ICEBASE,TOPOGRAPHY
2009-11-16 21:40:24.500,-68.0927664,-63.0521467,2009-11-16,320,78024.5,20,-2147011.46,1091496.75,505.05,-3853.0,-12571.89,984229.31,94.73,155.73,1.12,3.54,3.44,4.01,0,,2.00911167802e+12,1258407624.5,293.745,503.200233333,2.00911160104e+12,459.095,752.838333333,1.0,57.6896,16,21,-249.6381,44.1052333333
2009-11-16 21:40:25.000,-68.0926417,-63.0538504,2009-11-16,320,78025.0,20,-2147056.43,1091439.27,505.01,-3849.87,-12869.02,980630.75,-33.69,155.72,1.12,3.52,3.46,4.03,0,,2.00911167802e+12,1258407625.0,293.208333333,503.2175,2.00911160104e+12,459.146666667,752.351666667,1.0,57.63055,16,21,-249.134166667,44.0708333333
2009-11-16 21:40:25.500,-68.0925168,-63.0555542,2009-11-16,320,78025.5,20,-2147101.41,1091381.79,504.96,-3365.99,-12501.74,975398.74,-208.08,155.71,1.12,3.5,3.48,4.05,0,,2.00911167803e+12,1258407625.5,293.791666667,503.2356,2.00911160104e+12,459.195,752.983333333,1.0,57.57785,16,21,-249.747733333,44.0406
2009-11-16 21:40:26.000,-68.0923916,-63.0572579,2009-11-16,320,78026.0,20,-2147146.43,1091324.33,504.9,-2703.03,-11885.63,971279.17,-348.35,155.69,1.12,3.48,3.5,4.07,0,,2.00911167803e+12,1258407626.0,296.466666667,503.254533333,2.00911160104e+12,459.28,755.746666667,1.0,57.5672,16,21,-252.492133333,43.9745333333
2009-11-16 21:40:26.500,-68.0922662,-63.0589619,2009-11-16,320,78026.5,20,-2147191.47,1091266.87,504.81,-2057.97,-11269.44,970580.1,-399.86,155.66,1.12,3.46,3.52,4.1,0,,2.00911167803e+12,1258407626.5,294.16,503.274333333,2.00911160104e+12,459.421666667,753.583333333,1.0,57.5703,16,21,-250.309,43.8526666667
2009-11-16 21:40:27.000,-68.0921405,-63.0606662,2009-11-16,320,78027.0,20,-2147236.54,1091209.41,504.69,-1476.63,-10671.52,974101.27,-355.17,155.62,1.12,3.44,3.54,4.12,0,,2.00911167803e+12,1258407627.0,293.865,503.29495,2.00911160104e+12,459.575,753.443333333,1.0,57.6012,16,21,-250.148383333,43.71995
2009-11-16 21:40:27.500,-68.0920146,-63.0623702,2009-11-16,320,78027.5,20,-2147281.63,1091151.97,504.55,-900.68,-9953.35,980807.62,-250.15,155.58,1.12,3.43,3.56,4.14,0,,2.00911167803e+12,1258407627.5,296.088333333,503.3164,2.00911160104e+12,459.746666667,755.836666667,1.0,57.60905,16,21,-252.520266667,43.5697333333
2009-11-16 21:40:28.000,-68.0918886,-63.0640748,2009-11-16,320,78028.0,20,-2147326.73,1091094.51,504.41,-263.38,-8969.02,988378.14,-140.19,155.54,1.12,3.41,3.59,4.17,0,,2.00911167803e+12,1258407628.0,299.544,503.33682,2.00911160104e+12,459.904,759.446,1.0,57.62355,16,21,-256.10918,43.43282
2009-11-16 21:40:28.500,-68.0917624,-63.0657794,2009-11-16,320,78028.5,20,-2147371.86,1091037.06,504.28,431.47,-7695.7,994322.12,-71.07,155.5,1.12,3.39,3.61,4.19,0,,2.00911167803e+12,1258407628.5,300.125,503.357916667,2.00911160104e+12,460.03,760.155,1.0,57.6638,16,21,-256.797083333,43.3279166667
2009-11-16 21:40:29.000,-68.0916361,-63.0674844,2009-11-16,320,78029.0,20,-2147417.0,1090979.6,504.18,1093.85,-6271.97,997092.24,-59.5,155.47,1.12,3.38,3.64,4.22,0,,2.00911167803e+12,1258407629.0,301.525,503.381766667,2.00911160104e+12,460.143333333,761.666666667,1.0,57.72215,16,21,-258.2849,43.2384333333
2009-11-16 21:40:29.500,-68.0915096,-63.0691892,2009-11-16,320,78029.5,20,-2147462.15,1090922.15,504.11,1597.63,-4932.25,996660.99,-91.05,155.44,1.12,3.37,3.66,4.24,0,,2.00911167803e+12,1258407629.5,301.491666667,503.406433333,2.00911160104e+12,460.221666667,761.71,1.0,57.76355,16,21,-258.303566667,43.1847666667
2009-11-16 21:40:30.000,-68.0913832,-63.0708947,2009-11-16,320,78030.0,20,-2147507.31,1090864.67,504.07,1857.09,-3888.07,994325.66,-133.36,155.43,1.12,3.36,3.69,4.27,0,,2.00911167803e+12,1258407630.0,301.461666667,503.431983333,2.00911160104e+12,460.271666667,761.733333333,1.0,57.80295,16,21,-258.30135,43.1603166667
2009-11-16 21:40:30.500,-68.0912566,-63.0726001,2009-11-16,320,78030.5,20,-2147552.48,1090807.2,504.07,1876.58,-3233.32,991902.01,-155.46,155.43,1.12,3.35,3.72,4.29,0,,2.00911167803e+12,1258407630.5,301.445,503.458316667,2.00911160104e+12,460.3,761.746666667,1.0,57.88145,16,21,-258.28835,43.1583166667
2009-11-16 21:40:31.000,-68.0911301,-63.0743057,2009-11-16,320,78031.0,20,-2147597.65,1090749.72,504.09,1741.04,-2927.43,990754.21,-143.02,155.44,1.12,3.34,3.74,4.32,0,,2.00911167803e+12,1258407631.0,301.443333333,503.485533333,2.00911160104e+12,460.301666667,761.746666667,1.0,57.96595,16,21,-258.261133333,43.1838666667
2009-11-16 21:40:31.500,-68.0910035,-63.0760114,2009-11-16,320,78031.5,20,-2147642.83,1090692.24,504.13,1556.24,-2855.88,991154.55,-103.13,155.45,1.12,3.33,3.77,4.35,0,,2.00911167803e+12,1258407631.5,301.46,503.5136,2.00911160104e+12,460.275,761.733333333,1.0,58.064,16,21,-258.219733333,43.2386
2009-11-16 21:40:32.000,-68.0908769,-63.0777175,2009-11-16,320,78032.0,20,-2147688.01,1090634.74,504.19,1381.9,-2916.73,992264.8,-58.05,155.47,1.12,3.32,3.8,4.37,0,,2.00911167803e+12,1258407632.0,301.476666667,503.542483333,2.00911160104e+12,460.241666667,761.72,1.0,58.1698,16,21,-258.177516667,43.3008166667
2009-11-16 21:40:32.500,-68.0907503,-63.0794236,2009-11-16,320,78032.5,20,-2147733.19,1090577.24,504.27,1206.19,-3068.66,992700.21,-32.62,155.49,1.12,3.32,3.83,4.4,0,,2.00911167803e+12,1258407632.5,301.6,503.572233333,2.00911160104e+12,460.181666667,761.781666667,1.0,58.25135,16,21,-258.209433333,43.3905666667
2009-11-16 21:40:33.000,-68.0906236,-63.0811298,2009-11-16,320,78033.0,20,-2147778.38,1090519.74,504.38,982.22,-3306.97,991347.65,-41.69,155.53,1.12,3.32,3.86,4.43,0,,2.00911167803e+12,1258407633.0,302.763333333,503.602783333,2.00911160104e+12,460.076666667,762.84,1.0,58.34285,16,21,-259.237216667,43.5261166667
2009-11-16 21:40:33.500,-68.0904969,-63.0828362,2009-11-16,320,78033.5,20,-2147823.58,1090462.23,504.51,703.86,-3588.55,988002.27,-83.05,155.57,1.12,3.32,3.89,4.46,0,,2.00911167803e+12,1258407633.5,304.808333333,503.6342,2.00911160104e+12,454.683333333,759.495,1.0,58.4023,16,21,-255.8608,48.9508666667
2009-11-16 21:40:34.000,-68.0903702,-63.0845426,2009-11-16,320,78034.0,20,-2147868.77,1090404.72,504.65,467.01,-3768.06,983502.62,-138.59,155.61,1.12,3.32,3.93,4.48,0,,2.00911167803e+12,1258407634.0,310.615,503.666466667,2.00911160104e+12,444.083333333,754.696666667,1.0,58.4503,16,21,-251.0302,59.5831333333
2009-11-16 21:40:34.500,-68.0902435,-63.0862491,2009-11-16,320,78034.5,20,-2147913.96,1090347.2,504.79,465.33,-3607.43,979313.45,-182.96,155.65,1.12,3.32,3.96,4.51,0,,2.00911167803e+12,1258407634.5,311.701666667,503.69955,2.00911160104e+12,443.998333333,755.701666667,1.0,58.4656,16,21,-252.002116667,59.7012166667
2009-11-16 21:40:35.000,-68.0901167,-63.0879558,2009-11-16,320,78035.0,20,-2147959.17,1090289.68,504.93,906.27,-2876.16,976788.03,-195.93,155.7,1.12,3.33,3.99,4.54,0,,2.00911167804e+12,1258407635.0,305.153333333,503.733516667,2.00911160104e+12,454.391666667,759.545,1.0,58.4631,16,21,-255.811483333,49.34185
2009-11-16 21:40:35.500,-68.0899898,-63.0896628,2009-11-16,320,78035.5,20,-2148004.38,1090232.15,505.05,1884.25,-1498.22,976497.88,-173.27,155.73,1.12,3.33,4.03,4.57,0,,2.00911167804e+12,1258407635.5,301.86,503.7683,2.00911160104e+12,459.565,761.425,1.0,58.45715,16,21,-257.6567,44.2033
2009-11-16 21:40:36.000,-68.089863,-63.0913697,2009-11-16,320,78036.0,20,-2148049.59,1090174.62,505.15,3282.04,339.51,977975.41,-130.62,155.77,1.12,3.34,4.07,4.6,0,,2.00911167804e+12,1258407636.0,301.88,503.8009,2.00911160104e+12,459.53,761.408,1.0,58.4162,16,21,-257.6071,44.2709
